date	range_ID	range	TAT
2014-11-17T08:15	2304	1093.665	640.0
2014-11-17T08:15	2305	757.645	280.0
2014-11-17T08:15	2307	1245.294	80.0
2014-11-17T10:15	2302	1096.796	440.0
2014-11-17T10:15	2303	1603.782	320.0
2014-11-17T10:15	2304	1093.67	640.0
2014-11-17T10:15	2305	757.642	280.0
2014-11-17T10:15	2307	1245.29	80.0
2014-11-17T12:15	2302	1096.793	440.0
2014-11-17T12:15	2303	1603.781	320.0
2014-11-17T12:15	2304	1093.674	640.0
2014-11-17T12:15	2305	757.643	280.0
2014-11-17T12:15	2307	1245.291	80.0
2014-11-17T14:15	2302	1096.796	440.0
2014-11-17T14:15	2303	1603.78	320.0
2014-11-17T14:15	2304	1093.676	640.0
2014-11-17T14:15	2305	757.644	280.0
2014-11-17T14:15	2307	1245.296	80.0
2014-11-17T16:15	2302	1096.802	440.0
2014-11-17T16:15	2303	1603.784	320.0
2014-11-17T16:15	2304	1093.675	640.0
2014-11-17T16:15	2305	757.65	280.0
2014-11-17T16:15	2307	1245.299	80.0
2014-11-17T18:15	2302	1096.795	440.0
2014-11-17T18:15	2303	1603.782	320.0
2014-11-17T18:15	2304	1093.671	640.0
2014-11-17T18:15	2305	757.649	280.0
2014-11-17T18:15	2307	1245.301	80.0
2014-11-17T20:15	2302	1096.8	440.0
2014-11-17T20:15	2303	1603.793	320.0
2014-11-17T20:15	2304	1093.677	640.0
2014-11-17T20:15	2305	757.653	280.0
2014-11-17T20:15	2307	1245.298	80.0
2014-11-17T22:15	2302	1096.797	440.0
2014-11-17T22:15	2303	1603.793	320.0
2014-11-17T22:15	2304	1093.678	640.0
2014-11-17T22:15	2305	757.646	280.0
2014-11-17T22:15	2307	1245.305	80.0
2014-11-18T00:15	2302	1096.814	440.0
2014-11-18T00:15	2303	1603.795	320.0
2014-11-18T00:15	2304	1093.673	640.0
2014-11-18T00:15	2305	757.653	280.0
2014-11-18T00:15	2307	1245.304	80.0
2014-11-18T02:15	2302	1096.809	440.0
2014-11-18T02:15	2303	1603.803	320.0
2014-11-18T02:15	2304	1093.681	640.0
2014-11-18T02:15	2305	757.654	280.0
2014-11-18T02:15	2307	1245.304	80.0
